Timestamp,Select gender,Postal zone(e.g Kingston 2) ,Please select your age group,What is your usual craving for Jamaican breakfast?,Which of these popular Jamaican sides would you pair with your breakfast? ,What do you usually order for a light breakfast?,Which meat type do you prefer?,Which of these would you typically order for lunch? ,And what side dish would you choose to go with that? ,Which of these cooking styles or flavors do you enjoy the most in your meals? ,Which of these popular Jamaican Juices would you choose with your lunch? ,What drink would you most likely order with your lunch? ,Which of these smoothie combinations sounds most refreshing to you?
3/24/2025 17:46:10,Female,St. Catherine,Yound Adult (20 - 29),Cooked up saltfish,"Breadfruit, Fritters, Festival","Scrambled eggs, Porridge, French toast","Chicken, Fish",Fried chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Soft drink,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:20:20,Male,2,Yound Adult (20 - 29),Egg,Bread,"Scrambled Eggs, Sausage, Fruits","Chicken, Fish, Pork, Goat",Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropical Rythm,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:20:58,Female,Kingston 7,Yound Adult (20 - 29),Egg,Fry Dumpling,Scrambled Eggs,Chicken,Jerk Chicken,Rice and Peas,Indian (eg. curry),Guava pineapple Juice,Cran Wata,Fruits (no milk)
3/25/2025 15:23:48,Female,Kingston 11,Yound Adult (20 - 29),Egg,Fry Dumpling,"Porridge, Sandwich",Chicken,Sandwich/Burger,Fries,Chinese (eg. stir fries),Water,Water,Fruits (with milk)
3/25/2025 15:27:47,Female,Kingston 19,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Fritters, Festival","French Toast, Scrambled Eggs","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)","Orange Juice, Water",Water,Fruits (no milk)
3/25/2025 15:27:56,Female,,Yound Adult (20 - 29),Callaloo,"Fry Dumpling, Bammy, Breadfruit, Fritters, Festival","Porridge, Pancakes, Waffles, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,"Rice and Peas, Fries, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Orange Juice",Cran Wata,Fruits (no milk)
3/25/2025 15:29:49,Female,8,Yound Adult (20 - 29),Egg,"Fry Dumpling, Fritters, Festival","French Toast, Scrambled Eggs","Chicken, Fish",Patty,Coco Bread,Chinese (eg. stir fries),I prefer water,Cran Wata,Fruits (no milk)
3/25/2025 15:29:51,Female,2,Yound Adult (20 - 29),Egg,"Breadfruit, Fritters, Hashbrown","French Toast, Fruits","Chicken, Pork",Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Guava pineapple Juice, Orange Juice",Tropical Rythm,Fruits (no milk)
3/25/2025 15:33:23,Female,Kingston 7,Yound Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Festival","Scrambled Eggs, Sausage",Chicken,Patty,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Tropical Rythm,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:33:35,Female,,Yound Adult (20 - 29),Beans and sausage,"Fry Dumpling, Fritters, Festival","Scrambled Eggs, Sandwich","Chicken, Fish",Patty,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Water,Fruits (no milk)
3/25/2025 15:44:18,Female,,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling","Waffles, Bacon","Chicken, Fish, Pork, Goat, Beef",Fry Chicken,"Rice and Peas, Mashed potatoes","Jamaican ( eg. brown stew, run down, escoveitch)",Beetroot Juice,Tropicana,"Banana, oats, nutmegs, almond milk"
3/25/2025 15:45:39,Female,,Yound Adult (20 - 29),Kidney,"Fry Dumpling, Boiled Dumpling","Porridge, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Fish",Fry Chicken,Rice and Peas,Indian (eg. curry),"Pine & ginger Juice, Guava pineapple Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 15:49:55,Female,Kingston 10,Yound Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Bammy, Breadfruit, Festival",Sandwich,"Chicken, Fish, Goat",Jerk Chicken,"Rice and Peas, Mashed potatoes, Raw vegetables salad, Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice",Cran Wata,Fruits (no milk)
3/25/2025 15:54:09,Female,,Yound Adult (20 - 29),Beans and sausage,"Fry Dumpling, Breadfruit, Fritters, Festival","Porridge, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Beef",Fry Chicken,"Rice and Peas, Alfredo pasta, Mashed potatoes, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice, Orange Juice",Box drink,Fruits (with milk)
3/25/2025 15:58:02,Female,,Teenager (12 - 19),Egg,"Fry Dumpling, Breadfruit, Fritters","Sandwich, Fruits",Beef,Fry Chicken,"Coco Bread, Alfredo pasta, Macaroni salad",Chinese (eg. stir fries),Juneplum Juice,Tropical Rythm,Fruits (with milk)
3/25/2025 16:00:06,Female,Kingston 20,Youn Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Boiled Dumpling, Breadfruit","Porridge, Waffles, Sandwich",Beef,Barbe-Fry Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Cran Wata,Fruits (no milk)
3/25/2025 16:00:32,Female,,Teenager (12 - 19),Beans and sausage,"Fry Dumpling, Fritters",Sandwich,Chicken,Fry Chicken,"Rice and Peas, Macaroni salad",Chinese (eg. stir fries),"Guava pineapple Juice, Orange Juice",Soft drink,Fruits (with milk)
3/25/2025 16:02:37,Female,,Young Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Boiled Dumpling, Breadfruit, Fritters","Pancakes, French Toast, Waffles, Scrambled Eggs, Sandwich, Sausage","Chicken, Fish, Goat",Fry Chicken,"Rice and Peas, White Rice, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Guava pineapple Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 16:06:03,Male,Kingston 3,Young Adult (20 - 29),Liver,Fry Dumpling,"Waffles, Scrambled Eggs, Fruits","Chicken, Fish, Goat, Beef",Fry Chicken,"Rice and Peas, Fries","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropicana,Fruits (no milk)
3/25/2025 16:08:21,Female,,Young Adult (20 - 29),Callaloo,Boiled Dumpling,Pancakes,Chicken,Fry Chicken,Rice and Peas,Indian (eg. curry),Orange Juice,Tropical Rythm,Fruits (no milk)
3/25/2025 16:10:36,Female,Kingston 6,Young Adult (20 - 29),Ackee & Saltfish,Fry Dumpling,"Scrambled Eggs, Sandwich",Chicken,Barbe-Fry Chicken,Rice and Peas,Indian (eg. curry),Pine & ginger Juice,Soft drink,Fruits (no milk)
3/25/2025 16:15:03,Female,Spanish Town,Teenager (12 - 19),Ackee & Saltfish,Fry Dumpling,"Porridge, Scrambled Eggs, Fruits",Chicken,Barbe-Fry Chicken,"Rice and Peas, Macaroni salad",Chinese (eg. stir fries),"Juneplum Juice, Orange Juice",Cran Wata,Fruits (with milk)
3/25/2025 16:18:21,Female,Kingston 8,Young Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit, Festival","Porridge, Scrambled Eggs, Sandwich","Chicken, Fish",Barbe-Fry Chicken,"Rice and Peas, Raw vegetables salad, Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Callaloo Juice, Juneplum Juice, Beetroot Juice, Orange Juice",Water,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:20:16,Female,,Young Adult (20 - 29),Liver,"Fry Dumpling, Boiled Dumpling, Fritters, Festival","Pancakes, Waffles, Scrambled Eggs, Sandwich","Chicken, Pork, Beef",Patty,"Coco Bread, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice",Cran Wata,Fruits (with milk)
3/25/2025 16:20:45,Male,Westmoreland 5,Teenager (12 - 19),Ackee & Saltfish,"Fry Dumpling, Fritters","Scrambled Eggs, Sandwich","Chicken, Pork",Fry Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice, Orange Juice",Soft drink,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:21:37,Female,JMCAN19,Teenager (12 - 19),Egg,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Bammy, Breadfruit, Hashbrown, Festival","Porridge, Fruits","Chicken, Pork",Fry Chicken,"Rice and Peas, Fries, Raw vegetables salad, Festival","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Wata,Fruits (with milk)
3/25/2025 16:21:46,Female,Kingston 7,Teenager (12 - 19),Egg,"Fry Dumpling, Breadfruit, Hashbrown, Festival","Pancakes, Sandwich","Chicken, Fish",Fry Chicken,"Rice and Peas, Macaroni salad",Chinese (eg. stir fries),Orange Juice,Water,Fruits (no milk)
3/25/2025 16:22:12,Female,,Teenager (12 - 19),Ackee & Saltfish,Boiled Dumpling,"Porridge, Sandwich, Sausage","Chicken, Goat",Barbe-Fry Chicken,"Rice and Peas, Coco Bread, Festival","Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Sparkling Cran Wata,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:23:07,Male,St Mary ,Young Adult (20 - 29),Stew chicken ,Yam,Scrambled Eggs,"Chicken, Pork",Fry Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Soft drink,Fruits (no milk)
3/25/2025 16:25:48,Male,Kingston 7,Young Adult (20 - 29),Egg,waffles,"Porridge, Pancakes, Bacon, Scrambled Eggs, fritters ","Chicken, Pork, Goat",Fry Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Beetroot Juice",Tropical Rythm,Fruits (no milk)
3/25/2025 16:26:21,Female,Kingston 20,Teenager (12 - 19),Stew Chicken and Fried Dumpling,Fry Dumpling,Fruits,"Chicken, Fish, Goat, Beef",Barbe-Fry Chicken,"Rice and Peas, Festival","Jamaican ( eg. brown stew, run down, escoveitch)",Juneplum Juice,Water,Fruits (no milk)
3/25/2025 16:26:50,Female,Kingston 7,Young Adult (20 - 29),Egg,Hashbrown,Scrambled Eggs,Chicken,Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropicana,Fruits (with milk)
3/25/2025 16:29:31,Female,Kingston ,Teenager (12 - 19),Ackee & Saltfish,"Fry Dumpling, Plantain ",Porridge,Beef,Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Tropical Rythm,Fruits (no milk)
3/25/2025 16:29:54,Male,Kingston 2,Young Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit, Festival","Porridge, Pancakes, French Toast, Waffles, Bacon, Scrambled Eggs, Sandwich","Chicken, Beef",Barbe-Fry Chicken,"Rice and Peas, White Rice, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Guava pineapple Juice, Orange Juice",Tropical Rythm,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:31:36,Female,Kingston 7,Young Adult (20 - 29),Cooked-up Saltfish,Fry Dumpling,Fruits,Chicken,Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Cran Wata,Fruits (no milk)
3/25/2025 16:35:52,Female,K7,Young Adult (20 - 29),"Not Jamaican, I crave sada roti","Hashbrown, Festival","Porridge, Pancakes, Waffles, Bacon, Sandwich, Fruits, Cereal and milk","Chicken, Shrimp",Sandwich/Burger,"Alfredo pasta, Mashed potatoes, Fries, Macaroni salad, Festival","Italian- cheese, bread dough, pasta",Guava pineapple Juice,Water,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:36:08,Male,Portmore,Millenials (30 - 44),Egg,Ground Provision/ Soul Food,"Scrambled Eggs, Sausage","Chicken, Fish",Bake Chicken,"Mashed potatoes, Raw vegetables salad","Vegan/Ital/Rastafarian (eg. Tofu, Veggie chunks, lentils)",Juneplum Juice,Water,"Banana, oats, nutmegs, almond milk"
3/25/2025 16:40:49,Male,Kingston 7,Young Adult (20 - 29),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit, Fritters, Festival","Sandwich, Fruits","Chicken, Fish, Pork, Goat, Beef",Patty,Coco Bread,Chinese (eg. stir fries),"Pine & ginger Juice, Juneplum Juice, Guava pineapple Juice, Beetroot Juice, Orange Juice",Water,Fruits (no milk)
3/25/2025 16:45:25,Female,Kingston 10,Young Adult (20 - 29),Cabbage,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit, Fritters","Porridge, Waffles, Scrambled Eggs, Fruits","Chicken, Goat, Beef",Bake Chicken,"Rice and Peas, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Guava pineapple Juice,Tropical Rythm,Fruits (no milk)
3/25/2025 16:48:24,Male,,Young Adult (20 - 29),Beans and sausage,"Fry Dumpling, Breadfruit, Fritters",Sandwich,"Chicken, Beef",Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Cran Wata,Fruits (no milk)
3/25/2025 16:48:27,Male,,Young Adult (20 - 29),Ackee & Saltfish,,"Porridge, Scrambled Eggs, Sandwich, Fruits","Chicken, Fish",Fry Chicken,"Rice and Peas, Mashed potatoes, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Juneplum Juice,Tropicana,Fruits (no milk)
3/25/2025 16:53:44,Female,Kingston 6,Young Adult (20 - 29),Cooked-up Saltfish,"Boiled Dumpling, Bammy","Porridge, Sandwich","Chicken, Pork, Beef",Fry Chicken,"Rice and Peas, Fries, Macaroni salad","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 16:58:59,Female,Kingston 2,Young Adult (20 - 29),Kidney,"Ground Provision/ Soul Food, Boiled Dumpling","Bacon, Scrambled Eggs","Chicken, Beef",Fry Chicken,"Rice and Peas, Mashed potatoes, Raw vegetables salad","Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Soft drink,Fruits (no milk)
3/25/2025 17:02:44,Male,,Young Adult (20 - 29),Egg,Pancakes,Pancakes,Chicken,Bake Chicken,Raw vegetables salad,"Jamaican ( eg. brown stew, run down, escoveitch)",Pine & ginger Juice,Tropicana,Fruits (no milk)
3/25/2025 17:37:48,Female,,Young Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Bammy, Festival","Waffles, Bacon, Scrambled Eggs, Sausage, Fruits","Chicken, Fish",Sandwich/Burger,"Rice and Peas, Alfredo pasta",Indian (eg. curry),Juneplum Juice,Tropical Rythm,Fruits except banana without milk 
3/25/2025 18:01:59,Female,,Young Adult (20 - 29),Egg,Fry Dumpling,Porridge,"Fish, Beef",Barbe-Fry Chicken,"Rice and Peas, Alfredo pasta",Indian (eg. curry),Pine & ginger Juice,Soft drink,"Banana, oats, nutmegs, almond milk"
3/25/2025 18:07:25,Female,Kingston 7,Young Adult (20 - 29),Egg,Hashbrown,"Pancakes, French Toast, Waffles, Bacon, Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Beef",Jerk Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Soft drink,"Banana, oats, nutmegs, almond milk"
3/25/2025 18:14:11,Female,Kingston 7,Teenager (12 - 19),Egg,Festival,Pancakes,Chicken,Fry Chicken,"Coco Bread, Fries",Chinese (eg. stir fries),Orange Juice,Squeeze,Fruits (no milk)
3/25/2025 18:45:00,Female,Kingston 2,Young Adult (20 - 29),Ackee & Saltfish,Breadfruit,"French Toast, Bacon, Scrambled Eggs","Chicken, Fish",Sandwich/Burger,Fries,Chinese (eg. stir fries),"Pine & ginger Juice, Juneplum Juice, Orange Juice",Soft drink,Fruits (no milk)
3/25/2025 18:51:10,Female,Kingston 6,Young Adult (20 - 29),Egg,Bread,"French Toast, Scrambled Eggs, Sausage","Chicken, Beef",Fry Chicken,Rice and Peas,"Jamaican ( eg. brown stew, run down, escoveitch)",Orange Juice,Cran Wata,"Banana, oats, nutmegs, almond milk"
3/25/2025 18:55:02,Female,Kingston 10,Teenager (12 - 19),"I don’t really have breakfast, but when I do, it’s mainly an egg sandwich.","Ground Provision/ Soul Food, Fry Dumpling, Bammy, Breadfruit, Fritters, Hashbrown","Porridge, Bacon, Scrambled Eggs, Sandwich, Sausage","Chicken, Pork, Beef",Barbe-Fry Chicken,"Rice and Peas, Raw vegetables salad",Chinese (eg. stir fries),"Juneplum Juice, Guava pineapple Juice",Water,Fruits (no milk)
3/25/2025 18:59:12,Female,Kingston 12,Young Adult (20 - 29),Beans and sausage,"Fry Dumpling, Festival","Porridge, Sandwich, Fruits",Chicken,Bake Chicken,"Rice and Peas, Alfredo pasta",Indian (eg. curry),Juneplum Juice,Cran Wata,Fruits (with milk)
3/25/2025 19:00:34,Female,Kingston 8,Young Adult (20 - 29),Beans and sausage,"Fry Dumpling, Bammy, Breadfruit, Festival","Porridge, Pancakes, Waffles, Sandwich, Fruits","Chicken, Fish, Pork, Beef",Barbe-Fry Chicken,"Rice and Peas, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Juneplum Juice, Beetroot Juice, Orange Juice",Cran Wata,"Spinach, Skim Milk, Chia Seeds"
3/25/2025 19:03:09,Female,,Teenager (12 - 19),Ackee & Saltfish,"Boiled Dumpling, Breadfruit","Porridge, Sandwich, Fruits","Chicken, Pork, Goat, Beef",Sandwich/Burger,Fries,"Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Juneplum Juice, Orange Juice",Water,Fruits (with milk)
3/25/2025 19:05:42,Female,kingston 7,Young Adult (20 - 29),na,"Fry Dumpling, Breadfruit, Fritters, Festival","Scrambled Eggs, Sandwich, Sausage, Fruits","Chicken, Beef",Barbe-Fry Chicken,"Mashed potatoes, Fries, Raw vegetables salad, Macaroni salad",Chinese (eg. stir fries),Juneplum Juice,Cran Wata,"Banana, oats, nutmegs, almond milk"
3/25/2025 19:08:40,Female,Kingston 8,Young Adult (20 - 29),Ackee & Saltfish,"Fry Dumpling, Breadfruit, Festival","Porridge, Sandwich","Chicken, Pork",Patty,Coco Bread,Chinese (eg. stir fries),Guava pineapple Juice,Soft drink,Fruits (no milk)
3/25/2025 19:10:59,Female,Kingston 7,Teenager (12 - 19),Ackee & Saltfish,"Ground Provision/ Soul Food, Fry Dumpling, Boiled Dumpling, Breadfruit","Bacon, Sandwich","Chicken, Fish",Fry Chicken,"Mashed potatoes, Fries","Jamaican ( eg. brown stew, run down, escoveitch)","Pine & ginger Juice, Guava pineapple Juice, Beetroot Juice",Tropicana,Fruits (with milk)
